2, 1, 9.31, 10.00
1, 0, 0.00, 10.00
2, 3, 2.75, 1.00
1, 1, 0.92, 1.00
1, 3, 11.07, 4.00
2, 4, 14.62, 4.00
1, 0, 0.00, 0.23
2, 0, 0.00, 0.23
2, 4, 13.06, 3.50
1, 2, 6.62, 3.50
2, 0, 0.00, 6.00
1, 3, 16.22, 6.00
2, 2, 4.62, 2.50
1, 0, 0.00, 2.50
2, 3, 23.94, 9.00
1, 2, 16.49, 9.00
1, 0, 0.00, 1.50
2, 4, 5.57, 1.50
2, 1, 7.41, 8.00
1, 3, 21.31, 8.00
2, 3, 5.48, 2.00
1, 3, 5.48, 2.00
1, 3, 1.41, 0.50
2, 3, 1.41, 0.50
2, 1, 4.74, 5.00
1, 2, 9.43, 5.00
1, 3, 8.46, 3.00
2, 3, 8.46, 3.00
2, 1, 6.45, 7.00
1, 3, 18.73, 7.00
1, 0, 0.00, 3.00
2, 0, 0.00, 3.00
1, 2, 0.69, 0.23
2, 0, 0.00, 0.23
2, 1, 7.41, 8.00
1, 0, 0.00, 8.00
2, 0, 0.00, 7.00
1, 3, 18.73, 7.00
1, 3, 1.41, 0.50
2, 2, 0.94, 0.50
1, 3, 4.19, 1.50
2, 2, 2.79, 1.50
1, 3, 11.07, 4.00
2, 3, 11.07, 4.00
1, 3, 13.98, 5.00
2, 0, 0.00, 5.00
2, 3, 16.22, 6.00
1, 3, 16.22, 6.00
2, 3, 26.20, 10.00
1, 1, 9.31, 10.00
2, 3, 2.75, 1.00
1, 3, 2.75, 1.00
2, 3, 23.94, 9.00
1, 0, 0.00, 9.00
1, 3, 5.48, 2.00
2, 3, 5.48, 2.00
1, 3, 6.91, 2.50
2, 3, 6.91, 2.50
1, 3, 9.87, 3.50
2, 3, 9.87, 3.50
2, 3, 13.98, 5.00
1, 3, 13.98, 5.00
2, 3, 11.07, 4.00
1, 3, 11.07, 4.00
1, 3, 26.20, 10.00
2, 0, 0.00, 10.00
1, 0, 0.00, 0.23
2, 0, 0.00, 0.23
2, 2, 14.57, 8.00
1, 2, 14.57, 8.00
2, 3, 2.75, 1.00
1, 3, 2.75, 1.00
1, 1, 8.42, 9.00
2, 1, 8.42, 9.00
1, 3, 5.48, 2.00
2, 5, 9.09, 2.00
1, 3, 4.19, 1.50
2, 3, 4.19, 1.50
2, 3, 16.22, 6.00
1, 3, 16.22, 6.00
1, 3, 6.91, 2.50
2, 0, 0.00, 2.50
2, 0, 0.00, 0.50
1, 1, 0.47, 0.50
1, 3, 9.87, 3.50
2, 3, 9.87, 3.50
1, 3, 18.73, 7.00
2, 3, 18.73, 7.00
2, 3, 8.46, 3.00
1, 0, 0.00, 3.00
