Direction,Letter Height (degrees),Eccentricity (degrees)
3,3,37
4,3,34
2,3,35
1,3,13
2,1,21
1,1,20
4,1,21
3,1,23
4,2.5,35
3,2.5,19
2,2.5,19
1,2.5,31
1,2,23
3,2,44
4,2,25
2,2,15
3,4,24
1,4,47
4,4,20
2,4,25
3,0.5,9
1,0.5,30
4,0.5,6
2,0.5,38
4,3.5,32
2,3.5,28
3,3.5,19
1,3.5,27
4,1.5,14
1,1.5,21
3,1.5,19
2,1.5,19
1,0.25,12
4,0.25,15
2,0.25,13
3,0.25,11
