Direction,Letter Height (degrees),Eccentricity (degrees)
2,4.400000000000002,30
2,1.4000000000000001,20
2,1.4,15
2,0.30000000000000004,5
2,0.7999999999999996,10
2,3.3000000000000007,25
4,2.2,20
4,5.100000000000002,30
4,3.9000000000000012,25
4,1.0,5
4,1.0,10
4,1.9,15
1,2.7,30
1,2.9000000000000012,25
1,1.2,15
1,0.5,5
1,1.7999999999999998,20
1,0.9999999999999998,10
1,4.900000000000001,40
1,0.20000000000000004,0
1,4.700000000000001,35
3,1.5999999999999996,15
3,4.300000000000001,35
3,2.900000000000001,25
3,0.20000000000000004,0
3,3.200000000000002,30
3,0.7000000000000002,5
3,4.6000000000000005,40
3,1.0,10
3,1.4999999999999998,20
