Session Index, Type, Subject Code, Date, Protocol, Mean, Standard Deviation, Standard Error
0, Internal, TEST, 00-00-00, 
0, Internal, TEST, 00-00-00, 
0, Internal, TEST, 00-00-00, Crowded Periphery 9x9, 0.1578, 0.0417, 0.012581
0, Internal, TEST, 00-00-00, Crowded Periphery 9x9, 0.1578, 0.0417, 0.012581
0, All, Averaged, 00, Crowded Periphery 9x9, 0.1112, 0.0422, 0.007233
0, All, Averaged, 00, Crowded Periphery 9x9, 0.1112, 0.0422, 0.007233
