type,name,fc_slope,fc_chi_sq,fc_reduced_chi_sq,fc_neg_error,fc_pos_error,l3_slope,l3_chi_sq,l3_reduced_chi_sq,l3_neg_error,l3_pos_error,cp9_slope,cp9_chi_sq,cp9_reduced_chi_sq,cp9_neg_error,cp9_pos_error,cp7_slope,cp7_chi_sq,cp7_reduced_chi_sq,cp7_neg_error,cp7_pos_error,cp5_slope,cp5_chi_sq,cp5_reduced_chi_sq,cp5_neg_error,cp5_pos_error,cp_slope,cp_chi_sq,cp_reduced_chi_sq,cp_neg_error,cp_pos_error,cpo_slope,cpo_chi_sq,cpo_reduced_chi_sq,cpo_neg_error,cpo_pos_error,cc9_slope,cc9_chi_sq,cc9_reduced_chi_sq,cc9_neg_error,cc9_pos_error,cc3_slope,cc3_chi_sq,cc3_reduced_chi_sq,cc3_neg_error,cc3_pos_error,ic_slope,ic_chi_sq,ic_reduced_chi_sq,ic_neg_error,ic_pos_error
Mock,NICK,0.316977658,25.56772891,1.826266351,0.306281654,0.327673661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044778583,163.031083,23.29015472,0.044218964,0.045338202
Mock,LIZ,0.276162882,41.2252023,2.944657307,0.266742122,0.285583642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036980916,239.7118541,34.24455059,0.036409603,0.037552229
Mock,Averaged,0.297198189,23.12461956,1.65175854,0.287185635,0.307210742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.085758684,29.64325666,4.234750951,0.082833329,0.088684039,0.077579071,52.04315223,7.434736032,0.074924676,0.080233467,0.026923003,1.670045862,0.417511466,0.026083197,0.027762808,0.024926732,66.2763621,13.25527242,0.024155648,0.025697817,0.033674487,155.1322192,22.1617456,0.033094581,0.034254393
Pilot,Averaged,0.249072202,22.40847761,1.600605544,0.240662043,0.25748236,0.214905931,0.566394989,0.08091357,0.171760052,0.258051811,0.108735425,4.457693084,0.891538617,0.101914919,0.115555932,0.130684459,5.589020364,0.798431481,0.126481468,0.134887451,0.132181005,3.992354581,0.570336369,0.128464572,0.135897438,0.096776143,20.34924871,2.90703553,0.093861442,0.099690844,0.065095484,19.47863381,2.782661972,0.062438799,0.067752168,0.027090772,6.521843055,1.630460764,0.026250517,0.027931027,0.028066523,3.890745446,0.778149089,0.027284477,0.02884857,0.032221621,189.0670942,27.00958488,0.031666735,0.032776508
Pilot,ANNA,0.291051558,18.13060469,1.394661899,0.281227202,0.300875913,0.261362929,0.184823286,0.026403327,0.209277885,0.313447974,0.141367712,18.23118707,3.646237413,0.134552412,0.148183012,0.174444458,5.189336289,0.741333756,0.170236902,0.178652013,0.152351299,18.66758819,2.666798313,0.148627245,0.156075353,0.140009799,55.01639137,7.859484481,0.137117385,0.142902212,0.072052471,21.88412473,3.126303533,0.06936925,0.074735691,0.0301463,94.52730759,23.6318269,0.029306302,0.030986298,0.035240363,22.47647574,4.495295148,0.034478611,0.036002116,0.042135157,180.5594032,25.79420046,0.041571605,0.042698709
Pilot,JANE,0.182288353,38.3164066,2.947415892,0.176060835,0.18851587,0.178375794,2.54482307,0.363546153,0.141049456,0.215702133,0.119597806,7.423201859,1.484640372,0.112754351,0.126441261,0.118010132,47.82741907,6.832488439,0.113773222,0.122247041,0.119548081,64.85649251,9.265213216,0.115814715,0.123281446,0.079247689,37.51809247,5.359727496,0.07632446,0.082170917,0.047098799,14.77779992,2.111114274,0.044415967,0.049781631,0.021577416,9.984653953,2.496163488,0.020745569,0.022409263,0.023068495,26.49505064,5.299010128,0.022310226,0.023826765,0.026488902,117.202457,16.74320814,0.02592392,0.027053884
Pilot,NICK,0.245179912,40.720884,2.908634571,0.236844377,0.253515446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10812327,13.43387716,1.919125309,0.103886988,0.112359553,0.128065542,18.88535864,2.697908378,0.124341619,0.131789466,0.109516724,23.79204126,3.398863037,0.106584941,0.112448508,0.073770296,20.06322884,2.866175549,0.071088036,0.076452556,0.02548535,5.212162467,1.303040617,0.024656168,0.026314531,0.029210707,29.58997675,5.91799535,0.02843552,0.029985894,0.030864957,127.8526028,18.26465755,0.030297798,0.031432115
Pilot,SABA,0.241046444,26.97795035,1.926996454,0.232886076,0.249206812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1091673,31.0873868,4.441055257,0.104948059,0.113386541,0.115110822,11.60792862,1.658275517,0.111404765,0.118816879,0.088959854,40.35705841,5.765294058,0.086051819,0.09186789,0.06454787,79.51463758,11.35923394,0.061889069,0.06720667,0.028384191,54.40283966,13.60070992,0.027544391,0.029223991,0.022422132,23.60807043,4.721614086,0.021657927,0.023186338,0.030503944,284.0617511,40.58025015,0.029945304,0.031062584
Pilot,THIDA,0.249680065,12.12699796,0.86621414,0.241305666,0.258054463,0.205843985,0.963354542,0.137622077,0.164192431,0.247495538,NaN,NaN,NaN,NaN,NaN,0.144799542,28.15925874,4.022751249,0.140575047,0.149024037,0.146134948,41.22157947,5.888797067,0.142414082,0.149855813,0.124708425,72.87112701,10.410161,0.121803521,0.12761333,0.098306091,127.4946404,18.21352005,0.095622018,0.100990164,0.029777935,4.2725052,1.0681263,0.028948202,0.030607669,0.028475878,13.10666502,2.621333003,0.027715759,0.029235998,0.03421313,254.2032546,36.31475065,0.033657282,0.034768978
Pilot,RIVER,0.39805203,19.92203866,1.423002761,0.384653064,0.411450997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037270484,36.9142701,7.38285402,0.036512774,0.038028194,NaN,NaN,NaN,NaN,NaN
Pilot,TREVOR,0.337136991,17.45812198,1.34293246,0.32575178,0.348522202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0323645,19.40336492,4.85084123,0.031519433,0.033209568,0.0283839,20.04162286,4.008324573,0.027626343,0.029141456,0.03416589,365.3594177,52.19420253,0.033610855,0.034720924
Pilot,SARA,0.234655731857923,59.3613248007478,4.24009462862484,0.22659150461249,0.242719959342696,NaN,NaN,NaN,NaN,NaN,0.0652407588645827,1.81720176264136,0.363440352528272,0.0584199279731221,0.072061589551773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0636019306201207,19.412862412002,2.77326605885742,0.0607011051285866,0.0665027561971128,0.0520807029988733,12.3716947397877,1.76738496282682,0.0494110600790499,0.0547503459186968,0.0261196481288405,4.70666589533282,1.17666647383321,0.0252981916784288,0.026941104579252,0.0223752689116177,78.4982761956949,15.699655239139,0.0216111255544123,0.0231394122688232,0.0325712086955222,239.553427129962,34.2219181614232,0.0320103022923685,0.0331321150986759
