Direction,Letter Height (degrees),Eccentricity (degrees)
1,1.9,25
1,4.000000000000002,30
1,1.0999999999999999,10
1,4.500000000000001,35
1,1.9,15
1,1.9,20
1,0.30000000000000004,5
1,5.900000000000002,40
1,0.20000000000000004,0
3,0.20000000000000004,0
3,6.500000000000003,40
3,1.9999999999999998,25
3,0.40000000000000024,10
3,3.700000000000002,30
3,0.4,5
3,4.800000000000002,35
3,1.9,20
3,1.2,15
2,0.5,10
2,2.7,25
2,0.5,5
2,1.2,15
2,1.7,20
2,3.1000000000000005,30
4,2.0,15
4,0.5,5
4,3.8000000000000016,20
4,0.8999999999999999,10
4,4.900000000000002,30
4,3.9000000000000012,25
