Direction,Letter Height (degrees),Eccentricity (degrees)
4,3,34
2,3,43
3,3,41
1,3,48
3,3.5,46
2,3.5,43
4,3.5,38
1,3.5,44
3,0.5,16
1,0.5,20
2,0.5,14
4,0.5,16
3,2,40
4,2,35
1,2,42
2,2,34
3,0.25,18
1,0.25,30
4,0.25,12
2,0.25,16
2,4,44
4,4,34
3,4,59
1,4,54
1,2.5,48
4,2.5,32
2,2.5,38
3,2.5,42
2,1.5,23
1,1.5,46
3,1.5,42
4,1.5,26
3,1,32
2,1,34
4,1,16
1,1,32
