Direction,Letter Height (degrees),Eccentricity (degrees)
2,0.3999999999999999,5
2,1.4,15
2,1.0,10
2,2.2,20
2,2.7,25
2,3.200000000000002,30
1,0.4,5
1,0.30000000000000004,0
1,0.9000000000000001,10
1,1.2999999999999996,15
1,1.8,20
1,3.400000000000001,35
1,2.2000000000000006,30
1,5.000000000000003,40
1,3.0000000000000018,25
3,2.6000000000000005,30
3,1.7,20
3,0.40000000000000013,10
3,1.4999999999999998,25
3,1.4,15
3,0.20000000000000004,0
3,0.4,5
3,5.000000000000002,35
3,4.400000000000001,40
4,2.8000000000000007,20
4,1.2,10
4,1.8,15
4,4.3000000000000025,25
4,5.700000000000003,30
4,0.29999999999999993,5
